borrower_id,month,income,emi,paid,delay_days
1,1,29703,10375,1,0
1,2,29703,10375,1,0
1,3,20792,10375,1,0
1,4,20792,10375,1,0
1,5,20792,10375,1,0
1,6,20792,10375,1,0
1,7,20792,10375,1,0
1,8,20792,10375,1,0
1,9,20792,10375,1,0
1,10,20792,10375,1,28
1,11,20792,10375,1,0
1,12,20792,10375,0,63
1,13,20792,10375,1,0
1,14,20792,10375,1,0
1,15,20792,10375,1,22
1,16,14554,10375,1,0
1,17,14554,10375,1,0
1,18,14554,10375,1,0
1,19,14554,10375,1,0
1,20,14554,10375,1,0
1,21,14554,10375,1,0
1,22,14554,10375,1,25
1,23,14554,10375,1,0
1,24,14554,10375,1,0
2,1,31717,9201,0,90
2,2,31717,9201,1,15
2,3,31717,9201,1,0
2,4,31717,9201,0,80
2,5,31717,9201,1,0
2,6,31717,9201,1,0
2,7,31717,9201,1,21
2,8,31717,9201,1,0
2,9,31717,9201,1,0
2,10,31717,9201,1,0
2,11,31717,9201,0,82
2,12,22201,9201,1,0
2,13,22201,9201,1,0
2,14,22201,9201,1,0
2,15,22201,9201,1,0
2,16,22201,9201,1,0
2,17,22201,9201,1,0
2,18,22201,9201,1,0
2,19,22201,9201,1,0
2,20,22201,9201,1,15
2,21,22201,9201,1,0
2,22,22201,9201,1,0
2,23,22201,9201,1,0
2,24,22201,9201,1,0
3,1,28832,8696,1,15
3,2,28832,8696,1,27
3,3,28832,8696,0,82
3,4,28832,8696,1,0
3,5,28832,8696,1,28
3,6,28832,8696,0,81
3,7,28832,8696,0,80
3,8,28832,8696,0,66
3,9,28832,8696,1,0
3,10,28832,8696,1,0
3,11,28832,8696,1,0
3,12,28832,8696,1,0
3,13,28832,8696,1,0
3,14,28832,8696,1,0
3,15,28832,8696,1,0
3,16,28832,8696,1,0
3,17,28832,8696,1,0
3,18,28832,8696,1,0
3,19,28832,8696,1,0
3,20,28832,8696,1,0
3,21,28832,8696,1,0
3,22,28832,8696,1,0
3,23,28832,8696,1,0
3,24,28832,8696,1,0
4,1,48435,16767,1,12
4,2,48435,16767,0,60
4,3,33904,16767,1,0
4,4,33904,16767,1,0
4,5,33904,16767,1,0
4,6,23733,16767,0,81
4,7,16613,16767,0,72
4,8,16613,16767,0,70
4,9,16613,16767,1,0
4,10,16613,16767,1,0
4,11,16613,16767,1,0
4,12,16613,16767,1,0
4,13,11629,16767,1,0
4,14,11629,16767,1,0
4,15,11629,16767,1,0
4,16,11629,16767,1,0
4,17,11629,16767,1,0
4,18,11629,16767,1,0
4,19,11629,16767,1,0
4,20,11629,16767,1,0
4,21,11629,16767,1,0
4,22,11629,16767,1,0
4,23,11629,16767,1,0
4,24,11629,16767,1,0
5,1,38070,13626,1,0
5,2,26649,13626,1,0
5,3,26649,13626,1,0
5,4,18654,13626,1,0
5,5,13058,13626,1,0
5,6,13058,13626,0,68
5,7,13058,13626,0,67
5,8,13058,13626,0,76
5,9,13058,13626,1,0
5,10,13058,13626,1,0
5,11,13058,13626,1,0
5,12,13058,13626,1,0
5,13,13058,13626,1,0
5,14,9140,13626,1,0
5,15,9140,13626,1,0
5,16,9140,13626,1,0
5,17,9140,13626,1,0
5,18,9140,13626,1,0
5,19,9140,13626,1,0
5,20,9140,13626,1,0
5,21,9140,13626,1,0
5,22,9140,13626,1,0
5,23,6398,13626,1,0
5,24,6398,13626,1,0
6,1,26438,10175,1,0
6,2,18506,10175,1,0
6,3,18506,10175,1,0
6,4,18506,10175,1,0
6,5,18506,10175,1,16
6,6,18506,10175,0,62
6,7,18506,10175,0,74
6,8,18506,10175,0,80
6,9,18506,10175,1,0
6,10,18506,10175,1,0
6,11,18506,10175,1,0
6,12,12954,10175,1,0
6,13,12954,10175,1,0
6,14,12954,10175,1,0
6,15,12954,10175,1,0
6,16,12954,10175,1,0
6,17,12954,10175,1,0
6,18,12954,10175,1,0
6,19,12954,10175,1,0
6,20,12954,10175,1,0
6,21,12954,10175,1,0
6,22,12954,10175,1,0
6,23,12954,10175,1,0
6,24,12954,10175,1,0
7,1,51517,20484,1,29
7,2,51517,20484,1,0
7,3,51517,20484,1,0
7,4,51517,20484,1,0
7,5,51517,20484,1,0
7,6,51517,20484,0,72
7,7,51517,20484,0,74
7,8,51517,20484,0,77
7,9,36061,20484,1,0
7,10,36061,20484,1,0
7,11,36061,20484,1,0
7,12,36061,20484,1,0
7,13,36061,20484,1,0
7,14,25243,20484,1,0
7,15,25243,20484,1,0
7,16,25243,20484,1,0
7,17,17670,20484,1,0
7,18,17670,20484,1,0
7,19,17670,20484,1,0
7,20,17670,20484,1,0
7,21,17670,20484,1,0
7,22,12369,20484,1,0
7,23,12369,20484,1,0
7,24,12369,20484,1,0
8,1,34753,9293,1,0
8,2,34753,9293,1,0
8,3,34753,9293,1,0
8,4,34753,9293,1,0
8,5,34753,9293,1,0
8,6,34753,9293,1,15
8,7,34753,9293,1,0
8,8,34753,9293,1,0
8,9,34753,9293,1,0
8,10,34753,9293,1,0
8,11,34753,9293,1,17
8,12,34753,9293,1,0
8,13,34753,9293,1,0
8,14,34753,9293,0,60
8,15,24327,9293,0,62
8,16,24327,9293,1,0
8,17,17028,9293,1,0
8,18,17028,9293,1,0
8,19,17028,9293,1,0
8,20,17028,9293,1,21
8,21,17028,9293,1,0
8,22,17028,9293,1,0
8,23,17028,9293,1,26
8,24,11920,9293,1,0
9,1,40181,18138,1,0
9,2,40181,18138,1,17
9,3,40181,18138,1,0
9,4,40181,18138,1,0
9,5,40181,18138,1,0
9,6,28126,18138,0,70
9,7,28126,18138,0,75
9,8,28126,18138,0,63
9,9,28126,18138,1,0
9,10,28126,18138,1,0
9,11,28126,18138,1,0
9,12,28126,18138,1,0
9,13,28126,18138,1,0
9,14,28126,18138,1,0
9,15,28126,18138,1,0
9,16,28126,18138,1,0
9,17,28126,18138,1,0
9,18,28126,18138,1,0
9,19,28126,18138,1,0
9,20,28126,18138,1,0
9,21,28126,18138,1,0
9,22,19688,18138,1,0
9,23,19688,18138,1,0
9,24,13782,18138,1,0
10,1,20370,4844,1,21
10,2,20370,4844,1,0
10,3,20370,4844,1,0
10,4,20370,4844,1,0
10,5,20370,4844,1,11
10,6,20370,4844,0,79
10,7,20370,4844,1,0
10,8,20370,4844,1,0
10,9,20370,4844,1,0
10,10,20370,4844,1,0
10,11,14259,4844,1,0
10,12,9981,4844,1,0
10,13,9981,4844,1,13
10,14,9981,4844,1,0
10,15,9981,4844,1,0
10,16,9981,4844,1,0
10,17,9981,4844,1,0
10,18,9981,4844,1,0
